5.932394308033611878e+02,5.889125535239286364e+02,5.848956556020586959e+02,5.811274887234446851e+02,5.775695796555744437e+02,5.741956929464042787e+02,5.709866669318299728e+02,5.679277389213010565e+02,5.650070720099996606e+02,5.622148905454057513e+02,5.595429408030319109e+02,5.569841354257406465e+02,5.545323075982898899e+02,5.521820342188005952e+02,5.499285044945470418e+02,5.477674196544230654e+02,5.456949147065010948e+02,5.437074962624177488e+02,5.418019923544901530e+02,5.399755113878685506e+02,5.382254081728739266e+02,5.365492555278963209e+02,5.349448203227780141e+02,5.334100431025736953e+02,5.319430206272188570e+02,5.305419908067469805e+02,5.292053196193279518e+02,5.279314896807470632e+02,5.267190901959827443e+02,5.255668080711463972e+02,5.244734200006224683e+02,5.234377853721666725e+02,5.224588398536108116e+02,5.215355895396872938e+02,5.206671055467980977e+02,5.198525189472202328e+02,5.190910159314637440e+02,5.183818330764411257e+02,5.177242525742416319e+02,5.171175972350459915e+02,5.165612250057760093e+02,5.160545226197657485e+02,5.155968977650803708e+02,5.151877687333942504e+02,5.148265496820970384e+02,5.145126279595136793e+02,5.142453263955017064e+02,5.140238357236529509e+02,5.138470849387909993e+02,5.137134774807919939e+02
5.920834779304709627e+02,5.876753749098251092e+02,5.835077090100211308e+02,5.795601403345217477e+02,5.758126530694162284e+02,5.722475550825529353e+02,5.688497309000679252e+02,5.656063600346827798e+02,5.625065295249979727e+02,5.595408774802521066e+02,5.567012999579959569e+02,5.539807192717496491e+02,5.513729029187081778e+02,5.488723218665754757e+02,5.464740388248461613e+02,5.441736192773664698e+02,5.419670598729792346e+02,5.398507301675803092e+02,5.378213247419097343e+02,5.358758234700737830e+02,5.340114582594200101e+02,5.322256849807898789e+02,5.305161596013789449e+02,5.288807177502282002e+02,5.273173571097603372e+02,5.258242221505443013e+02,5.243995908210731614e+02,5.230418628772390548e+02,5.217495495927230422e+02,5.205212646355423658e+02,5.193557159303032904e+02,5.182516983522951932e+02,5.172080871198498926e+02,5.162238317663222915e+02,5.152979505831824554e+02,5.144295254312220322e+02,5.136176968175809634e+02,5.128616591315603728e+02,5.121606559209100169e+02,5.115139750708350448e+02,5.109209437184467788e+02,5.103809226945069213e+02,5.098933002345221439e+02,5.094574846575633842e+02,5.090728957255103069e+02,5.087389546207980970e+02,5.084550733389194761e+02,5.082206469057975937e+02,5.080350591337688684e+02,5.078977322096525882e+02
5.902035376724398930e+02,5.857688109507178069e+02,5.815317233284603162e+02,5.774847939548109252e+02,5.736184661289787527e+02,5.699225792595332223e+02,5.663871909119721977e+02,5.630029728421418440e+02,5.597613620839414352e+02,5.566545832615367999e+02,5.536756092796215398e+02,5.508180967379273625e+02,5.480763146544364872e+02,5.454450753648399086e+02,5.429196713604075057e+02,5.404958192517436828e+02,5.381696108174236315e+02,5.359374705645444692e+02,5.337961190452435858e+02,5.317425411570673077e+02,5.297739587121559452e+02,5.278878066437745247e+02,5.260817123063243343e+02,5.243534774066376940e+02,5.227010621763575955e+02,5.211225714567777914e+02,5.196162424192862090e+02,5.181804336876232355e+02,5.168136156637721115e+02,5.155143618885967953e+02,5.142813412923628675e+02,5.131133112098665379e+02,5.120091110507955818e+02,5.109676565287365406e+02,5.099879343624623971e+02,5.090689973712806591e+02,5.082099598928905948e+02,5.074099934582140463e+02,5.066683226644324805e+02,5.059842211975006876e+02,5.053570079734233218e+02,5.047860434023880316e+02,5.042707258477930736e+02,5.038104884829915591e+02,5.034047969942834015e+02,5.030531490252266735e+02,5.027550770297706322e+02,5.025101574291809925e+02,5.023180305920752176e+02,5.021784372293799379e+02
5.878301899594606539e+02,5.833816437784334994e+02,5.791050436818123899e+02,5.749969568855905209e+02,5.710523980615973869e+02,5.672654501036461170e+02,5.636297596552758478e+02,5.601388865738470031e+02,5.567865288849083072e+02,5.535666552466991561e+02,5.504735740670381574e+02,5.475019616855882987e+02,5.446468654209739952e+02,5.419036920326507243e+02,5.392681883737926682e+02,5.367364184484733869e+02,5.343047394082663004e+02,5.319697779530795287e+02,5.297284079327881727e+02,5.275777295374136884e+02,5.255150502192589101e+02,5.235378673488725099e+02,5.216438525286318963e+02,5.198308374482372756e+02,5.180968011499816157e+02,5.164398585686288925e+02,5.148582502151917879e+02,5.133503328822175718e+02,5.119145712582262604e+02,5.105495303494408290e+02,5.092538686172189273e+02,5.080263317493228783e+02,5.068657469922579821e+02,5.057710179804662403e+02,5.047411200064403829e+02,5.037750956842576215e+02,5.028720509683189448e+02,5.020311515002732108e+02,5.012516192718265415e+02,5.005327296118307459e+02,4.998738085363380037e+02,4.992742305454154348e+02,4.987334170174000860e+02,4.982508354481447554e+02,4.978259999163268503e+02,4.974584733233040765e+02,4.971478721261358942e+02,4.968938743560837565e+02,4.966962314548969744e+02,4.965547834032557262e+02
5.850908243226616605e+02,5.806334790406280035e+02,5.763310826436443222e+02,5.721817548691460615e+02,5.681825987991827560e+02,5.643299588443196626e+02,5.606196730519344555e+02,5.570472897845684201e+02,5.536082384605888365e+02,5.502979556009087219e+02,5.471119727193355402e+02,5.440459740733112994e+02,5.410958318338400659e+02,5.382576250030531355e+02,5.355276470272601728e+02,5.329024058051434167e+02,5.303786187710695685e+02,5.279532049478473255e+02,5.256232752802642381e+02,5.233861221391556455e+02,5.212392085866191564e+02,5.191801577838263029e+02,5.172067427784946858e+02,5.153168768105948629e+02,5.135086042085824829e+02,5.117800919045523074e+02,5.101296215682826869e+02,5.085555823423429160e+02,5.070564641498988863e+02,5.056308515412811744e+02,5.042774180432029425e+02,5.029949209747051668e+02,5.017821966958245525e+02,5.006381562582784568e+02,4.995617814320345360e+02,4.985521210875969018e+02,4.976082879215029493e+02,4.967294555224304986e+02,4.959148557882052728e+02,4.951637767208179071e+02,4.944755606483204247e+02,4.938496029499550559e+02,4.932853513939314212e+02,4.927823062335227746e+02,4.923400212395346216e+02,4.919581058601712016e+02,4.916362286637776151e+02,4.913741220889454553e+02,4.911715882389706849e+02,4.910285049677244160e+02
5.820718756271043048e+02,5.776083473287858396e+02,5.732876599319102979e+02,5.691086526732128732e+02,5.650694852169241358e+02,5.611677544071571901e+02,5.574006231734925905e+02,5.537649456537800461e+02,5.502573787451506178e+02,5.468744755815453118e+02,5.436127601291979090e+02,5.404687842692238746e+02,5.374391697749794048e+02,5.345206378921969872e+02,5.317100291117103552e+02,5.290043154067778914e+02,5.264006068236794817e+02,5.238961539388496931e+02,5.214883473629756736e+02,5.191747151941046923e+02,5.169529190976181781e+02,5.148207495150852537e+02,5.127761203686902718e+02,5.108170635253125056e+02,5.089417232074193862e+02,5.071483504808677480e+02,5.054352979077706891e+02,5.038010144221077553e+02,5.022440404638797986e+02,5.007630033922209236e+02,4.993566131873711811e+02,4.980236584446371921e+02,4.967630026595857657e+02,4.955735808021772755e+02,4.944543961779759798e+02,4.934045175767911928e+02,4.924230767130159734e+02,4.915092659675378286e+02,4.906623364483975820e+02,4.898815963962638875e+02,4.891664099709028619e+02,4.885161964652252209e+02,4.879304300023214864e+02,4.874086397747585693e+02,4.869504108788258350e+02,4.865553857713781554e+02,4.862232663233940002e+02,4.859538163529410326e+02,4.857468643889476994e+02,4.856023062643824915e+02
5.788380274518125361e+02,5.743698997697492814e+02,5.700355479083149248e+02,5.658341950543765506e+02,5.617645905576164296e+02,5.578250682306443196e+02,5.540136155951623778e+02,5.503279466044020865e+02,5.467655720102738997e+02,5.433238635047634943e+02,5.400001095426092661e+02,5.367915621235730441e+02,5.336954747435388526e+02,5.307091322761694983e+02,5.278298738152990381e+02,5.250551095846130920e+02,5.223823329802629587e+02,5.198091287083266252e+02,5.173331778488641248e+02,5.149522605440965890e+02,5.126642568824788668e+02,5.104671464391167888e+02,5.083590068380848379e+02,5.063380116234220623e+02,5.044024276614630367e+02,5.025506122457628067e+02,5.007810100351908886e+02,4.990921499239229320e+02,4.974826419174038961e+02,4.959511740695029971e+02,4.944965095218876741e+02,4.931174836762009477e+02,4.918130015222072302e+02,4.905820351401245603e+02,4.894236213924475010e+02,4.883368598193450225e+02,4.873209107519077179e+02,4.863749936588314426e+02,4.854983857442431372e+02,4.846904208168333525e+02,4.839504884526094770e+02,4.832780334744156789e+02,4.826725557694662143e+02,4.821336104595844745e+02,4.816608084252954427e+02,4.812538171619958689e+02,4.809123619125556957e+02,4.806362269767214457e+02,4.804252570491518100e+02,4.802793583974699914e+02
5.754404455577688395e+02,5.709687671283639929e+02,5.666238407898924834e+02,5.624051162458067665e+02,5.583116994487113516e+02,5.543423843594595155e+02,5.504956924123511044e+02,5.467699161625680517e+02,5.431631639502882081e+02,5.396734030765742318e+02,5.362984997385971155e+02,5.330362546730723352e+02,5.298844340324477571e+02,5.268407954454696664e+02,5.239031095009960382e+02,5.210691770652740615e+02,5.183368429265974555e+02,5.157040062836804282e+02,5.131686285770052791e+02,5.107287391223498503e+02,5.083824389544159885e+02,5.061279032337756121e+02,5.039633825170860177e+02,5.018872031414373396e+02,4.998977669301041828e+02,4.979935503892851330e+02,4.961731035334780699e+02,4.944350484505226859e+02,4.927780776954614907e+02,4.912009525846146971e+02,4.897025014470428914e+02,4.882816178793397626e+02,4.869372590409786881e+02,4.856684440208140927e+02,4.844742523004405257e+02,4.833538223366094826e+02,4.823063502824856528e+02,4.813310888658567137e+02,4.804273464411459713e+02,4.795944862307736116e+02,4.788319257695653732e+02,4.781391365628652466e+02,4.775156439640618373e+02,4.769610272696054381e+02,4.764749200186437861e+02,4.760570104698776390e+02,4.757070422106737624e+02,4.754248148347212464e+02,4.752101846081184249e+02,4.750630650349929738e+02
5.719210364592366886e+02,5.674465446166599349e+02,5.630932269964795296e+02,5.588606770492128817e+02,5.547482304168767087e+02,5.507549835190945942e+02,5.468798173320847127e+02,5.431214246224204771e+02,5.394783389266349332e+02,5.359489637700862659e+02,5.325316009177437309e+02,5.292244767790020887e+02,5.260257664006353480e+02,5.229336147488271536e+02,5.199461551914091615e+02,5.170615252448013734e+02,5.142778797529542771e+02,5.115934017270746494e+02,5.090063111047882103e+02,5.065148716945751062e+02,5.041173965632335694e+02,5.018122521066210879e+02,4.995978610213113029e+02,4.974727043701409457e+02,4.954353229099484679e+02,4.934843178263936920e+02,4.916183509993335861e+02,4.898361449031471011e+02,4.881364822297533692e+02,4.865182053077759861e+02,4.849802153792185777e+02,4.835214717849155477e+02,4.821409911016764909e+02,4.808378462672127966e+02,4.796111657233769279e+02,4.784601326037221156e+02,4.773839839876534370e+02,4.763820102402386851e+02,4.754535544538050544e+02,4.745980120044733894e+02,4.738148302334577693e+02,4.731035082589698959e+02,4.724635969196129963e+02,4.718946988440270047e+02,4.713964686342036998e+02,4.709686131415893442e+02,4.706108918064808790e+02,4.703231170234789715e+02,4.701051544905180322e+02,4.699569234981493082e+02
5.683149212474536398e+02,5.638381572597558034e+02,5.594780558612259256e+02,5.552343068704601592e+02,5.511064014021405910e+02,5.470936433967328867e+02,5.431951646649550867e+02,5.394099425426556991e+02,5.357368192110956215e+02,5.321745217868239024e+02,5.287216823980745630e+02,5.253768576128081804e+02,5.221385467428110587e+02,5.190052087006008605e+02,5.159752772199169613e+02,5.130471743607500912e+02,5.102193223049535504e+02,5.074901535100597698e+02,5.048581193301666303e+02,5.023216972373917315e+02,4.998793967892145247e+02,4.975297644894120594e+02,4.952713876861366771e+02,4.931028976422822439e+02,4.910229719024187602e+02,4.890303360685372240e+02,4.871237650845686176e+02,4.853020841177312263e+02,4.835641691136096938e+02,4.819089470916903224e+02,4.803353962389667799e+02,4.788425458511940747e+02,4.774294761643587321e+02,4.760953181128582514e+02,4.748392530456312102e+02,4.736605124269100884e+02,4.725583775442383399e+02,4.715321792427423588e+02,4.705812977012056422e+02,4.697051622620994067e+02,4.689032513242098617e+02,4.681750923027385625e+02,4.675202616576445962e+02,4.669383849865312754e+02,4.664291371736574092e+02,4.659922425819240743e+02,4.656274752703727700e+02,4.653346592164139111e+02,4.651136685203678098e+02,4.649644275705792325e+02
5.646519923405056716e+02,5.601733666203983830e+02,5.558077027936453760e+02,5.515547580966458554e+02,5.474141331302914750e+02,5.433852793625212598e+02,5.394675090549570768e+02,5.356600071179585711e+02,5.319618443536407995e+02,5.283719915476735878e+02,5.248893339092199994e+02,5.215126854227835338e+02,5.182408027545129698e+02,5.150723984387424252e+02,5.120061531506233905e+02,5.090407269426351036e+02,5.061747693837593260e+02,5.034069285892212520e+02,5.007358591662306253e+02,4.981602291282188162e+02,4.956787258481621734e+02,4.932900611323632347e+02,4.909929755011240218e+02,4.887862417635238330e+02,4.866686679712321393e+02,4.846390998319465098e+02,4.826964226574370969e+02,4.808395629148966464e+02,4.790674894437804028e+02,4.773792143938779304e+02,4.757737939341930655e+02,4.742503287764342872e+02,4.728079645516015717e+02,4.714458920732996603e+02,4.701633475169984990e+02,4.689596125404426630e+02,4.678340143667219309e+02,4.667859258480771132e+02,4.658147655252467985e+02,4.649199976939828503e+02,4.641011324872088153e+02,4.633577259781191628e+02,4.626893803063080099e+02,4.620957438258101888e+02,4.615765112708303946e+02,4.611314239320928436e+02,4.607602698343853262e+02,4.604628839042666186e+02,4.602391481163179492e+02,4.600889916069507990e+02
5.609579533338111332e+02,5.564777849985032390e+02,5.521075097648975998e+02,5.478469336611912013e+02,5.436957369010858656e+02,5.396534789642236092e+02,5.357196053868329955e+02,5.318934559777952700e+02,5.281742741399024226e+02,5.245612169647217797e+02,5.210533657793783959e+02,5.176497368501677556e+02,5.143492919859606900e+02,5.111509488287397289e+02,5.080535906648651689e+02,5.050560756353899023e+02,5.021572452645123690e+02,4.993559322606730007e+02,4.966509675742229888e+02,4.940411867190119892e+02,4.915254353830295031e+02,4.891025743660301259e+02,4.867714838906111936e+02,4.845310673382722371e+02,4.823802544642851444e+02,4.803180041454085654e+02,4.783433067131457506e+02,4.764551859228364492e+02,4.746527006057727931e+02,4.729349460480122502e+02,4.713010551358605653e+02,4.697501993042519643e+02,4.682815893205836915e+02,4.668944759330190664e+02,4.655881504088962402e+02,4.643619449856749952e+02,4.632152332538121868e+02,4.621474304880566706e+02,4.611579939408740643e+02,4.602464231090202702e+02,4.594122599816708430e+02,4.586550892759677254e+02,4.579745386633890121e+02,4.573702789880130126e+02,4.568420244756084685e+02,4.563895329306240001e+02,4.560126059166864820e+02,4.557110889152626214e+02,4.554848714567860952e+02,4.553338872188687105e+02
5.572550470918891961e+02,5.527735892920895822e+02,5.483994578721637936e+02,5.441324951568522010e+02,5.399724407920766680e+02,5.359189353033963243e+02,5.319715248890241810e+02,5.281296672767761038e+02,5.243927384486571555e+02,5.207600400240791032e+02,5.172308070921532135e+02,5.138042162933314785e+02,5.104793939684875568e+02,5.072554242167774419e+02,5.041313567298306566e+02,5.011062142968928015e+02,4.981789999017744890e+02,4.953487033566710807e+02,4.926143074393302186e+02,4.899747935182801371e+02,4.874291466658004310e+02,4.849763602701406171e+02,4.826154401674435235e+02,4.803454083202491347e+02,4.781653060737224905e+02,4.760741970232469953e+02,4.740711695280988920e+02,4.721553389058959738e+02,4.703258493416610690e+02,4.685818755438898506e+02,4.669226241781519775e+02,4.653473351066219834e+02,4.638552824596550863e+02,4.624457755631618738e+02,4.611181597431620389e+02,4.598718170265404979e+02,4.587061667547162074e+02,4.576206661246766885e+02,4.566148106696319360e+02,4.556881346894123226e+02,4.548402116386755552e+02,4.540706544790167527e+02,4.533791159992104554e+02,4.527652891060893694e+02,4.522289070870206729e+02,4.517697438436259745e+02,4.513876140953648815e+02,4.510823735508992058e+02,4.508539190448241811e+02,4.507021886373881898e+02
5.535625858241500055e+02,5.490800426785707486e+02,5.447026644973923339e+02,5.404303212239919958e+02,5.362627978480029469e+02,5.321997969714369674e+02,5.282409422857544996e+02,5.243857828538115200e+02,5.206337980725086254e+02,5.169844031810638398e+02,5.134369551760013337e+02,5.099907589965096122e+02,5.066450738517051491e+02,5.033991195732712072e+02,5.002520828915855304e+02,4.972031235495766737e+02,4.942513801850656705e+02,4.913959759284005031e+02,4.886360236771345740e+02,4.859706310229128690e+02,4.833989048173737046e+02,4.809199553736697794e+02,4.785329003081823771e+02,4.762368680332733675e+02,4.740310009166386180e+02,4.719144581262008273e+02,4.698864181816985024e+02,4.679460812353871688e+02,4.660926711047554818e+02,4.643254370800277115e+02,4.626436555286172165e+02,4.610466313177353186e+02,4.595336990751365533e+02,4.581042243065801358e+02,4.567576043870625995e+02,4.554932694412809724e+02,4.543106831271516057e+02,4.532093433345655740e+02,4.521887828099294211e+02,4.512485697154365312e+02,4.503883081304621783e+02,4.496076385009863543e+02,4.489062380415507505e+02,4.482838210929708112e+02,4.477401394378765076e+02,4.472749825751785693e+02,4.468881779537667853e+02,4.465795911651753158e+02,4.463491260945938279e+02,4.461967250294665632e+02
